Age,Education_Level,Years_of_Experience,Industry,Job_Role,Company_Size,Job_Level,Routine_Task_Percentage,Creativity_Requirement,Human_Interaction_Level
54,PhD,8,Manufacturing,Quality Engineer,Small,Entry,56,36,42
39,Master's,11,Manufacturing,Operator,Medium,Mid,35,69,93
34,Bachelor's,13,Manufacturing,Operator,Large,Senior,65,38,49
48,Bachelor's,11,IT,Software Engineer,Medium,Entry,90,9,79
32,High School,6,Manufacturing,Operator,Medium,Entry,39,64,84
47,Master's,19,Education,Academic Coordinator,Large,Entry,48,43,41
42,PhD,3,Healthcare,Medical Assistant,Large,Entry,57,45,64
21,High School,0,Logistics,Supply Chain Analyst,Small,Mid,82,22,81
46,Master's,12,Logistics,Supply Chain Analyst,Large,Mid,34,51,84
35,Master's,8,Logistics,Supply Chain Analyst,Medium,Entry,29,61,80
31,Bachelor's,7,Education,Academic Coordinator,Large,Entry,41,70,72
33,Bachelor's,2,Retail,Sales Associate,Small,Entry,58,30,53
47,Bachelor's,10,IT,ML Engineer,Medium,Mid,60,37,82
41,Bachelor's,0,Finance,Financial Analyst,Medium,Entry,67,34,34
44,Bachelor's,13,Education,Teacher,Large,Mid,58,41,98
42,Bachelor's,12,Logistics,Supply Chain Analyst,Medium,Entry,70,44,39
57,Bachelor's,3,Manufacturing,Quality Engineer,Large,Mid,34,64,93
39,Master's,13,Manufacturing,Quality Engineer,Medium,Senior,87,14,66
53,Master's,10,Healthcare,Nurse,Small,Entry,29,76,69
39,Master's,6,Healthcare,Nurse,Large,Entry,48,47,78
37,Master's,9,IT,Software Engineer,Large,Entry,26,68,92
27,Bachelor's,6,Finance,Auditor,Medium,Mid,85,26,27
45,Bachelor's,16,IT,Software Engineer,Medium,Entry,44,69,31
47,Bachelor's,4,Logistics,Dispatcher,Medium,Entry,46,56,82
51,High School,0,Education,Teacher,Small,Senior,61,46,94
35,Master's,14,Retail,Store Manager,Medium,Entry,42,61,69
45,Master's,19,Manufacturing,Quality Engineer,Small,Mid,30,86,69
32,Master's,4,IT,ML Engineer,Medium,Senior,67,28,65
32,PhD,11,Education,Research Assistant,Large,Entry,28,62,81
44,Bachelor's,11,IT,ML Engineer,Small,Mid,61,41,52
32,Bachelor's,11,Retail,Sales Associate,Large,Entry,80,23,35
43,Master's,12,Finance,Accountant,Medium,Mid,68,15,49
33,Master's,8,Logistics,Supply Chain Analyst,Small,Senior,69,25,48
54,Master's,12,Finance,Accountant,Small,Entry,88,19,87
58,Bachelor's,9,Retail,Sales Associate,Medium,Senior,43,58,59
46,Bachelor's,12,Education,Research Assistant,Medium,Entry,19,84,45
59,High School,8,Telecom,Network Engineer,Medium,Mid,40,58,71
53,Bachelor's,7,Telecom,Support Specialist,Medium,Senior,18,92,94
29,High School,8,Healthcare,Nurse,Small,Entry,89,19,78
40,Master's,5,Education,Research Assistant,Large,Mid,86,23,86
30,Bachelor's,9,Education,Academic Coordinator,Small,Entry,74,13,52
25,Bachelor's,4,Telecom,Operations Analyst,Medium,Entry,24,71,27
26,High School,4,Education,Academic Coordinator,Medium,Entry,76,23,22
41,Master's,3,Manufacturing,Operator,Medium,Mid,86,23,30
44,Master's,12,IT,Software Engineer,Medium,Entry,80,22,32
24,Master's,3,Education,Teacher,Small,Mid,57,45,75
42,Bachelor's,2,Manufacturing,Production Supervisor,Medium,Mid,13,89,76
42,High School,15,IT,Software Engineer,Large,Mid,10,68,38
42,Master's,8,Retail,Sales Associate,Large,Senior,90,32,76
43,Bachelor's,6,Education,Teacher,Medium,Entry,80,18,72
53,Master's,13,Telecom,Operations Analyst,Medium,Mid,17,80,82
51,High School,14,IT,ML Engineer,Medium,Mid,60,35,40
40,PhD,6,Healthcare,Medical Assistant,Medium,Mid,62,36,94
50,Bachelor's,10,Finance,Accountant,Small,Entry,58,33,23
57,Master's,14,Retail,Inventory Analyst,Medium,Entry,85,0,58
28,Master's,7,Telecom,Operations Analyst,Medium,Senior,46,47,37
57,Master's,8,Finance,Auditor,Medium,Entry,40,63,59
52,Master's,15,IT,ML Engineer,Medium,Entry,13,86,77
33,Master's,12,Logistics,Dispatcher,Medium,Entry,23,97,41
32,Bachelor's,4,Logistics,Warehouse Manager,Small,Entry,60,36,44
52,Master's,14,Manufacturing,Production Supervisor,Small,Entry,24,74,92
32,Bachelor's,3,Manufacturing,Production Supervisor,Medium,Entry,49,56,89
60,Master's,1,Education,Teacher,Small,Mid,23,63,79
41,High School,9,Education,Teacher,Large,Entry,46,72,99
21,Bachelor's,0,Logistics,Warehouse Manager,Medium,Entry,39,46,26
45,Bachelor's,10,Finance,Auditor,Medium,Entry,58,52,50
21,Bachelor's,0,Retail,Sales Associate,Small,Mid,28,67,91
56,Bachelor's,8,Telecom,Support Specialist,Large,Mid,85,20,69
27,Bachelor's,6,Finance,Financial Analyst,Small,Entry,21,81,62
57,Bachelor's,20,Finance,Financial Analyst,Medium,Entry,35,76,53
47,Master's,3,Logistics,Dispatcher,Large,Entry,85,2,87
28,Master's,5,Retail,Sales Associate,Medium,Mid,90,15,22
54,Master's,9,Telecom,Network Engineer,Small,Entry,69,2,85
24,Bachelor's,3,Healthcare,Health Analyst,Small,Mid,53,61,91
44,High School,11,Retail,Sales Associate,Small,Entry,41,58,60
29,Bachelor's,8,Healthcare,Health Analyst,Medium,Entry,21,84,49
36,PhD,8,Manufacturing,Quality Engineer,Small,Senior,21,70,64
51,Master's,15,Education,Academic Coordinator,Small,Mid,26,64,90
24,Bachelor's,1,Finance,Accountant,Small,Mid,42,71,34
44,Bachelor's,6,Telecom,Support Specialist,Small,Mid,62,22,41
59,Bachelor's,6,Healthcare,Health Analyst,Small,Entry,34,52,77
22,Master's,1,Logistics,Dispatcher,Medium,Entry,13,100,32
45,PhD,0,Retail,Store Manager,Large,Mid,11,82,76
53,Master's,6,Logistics,Supply Chain Analyst,Medium,Entry,11,92,67
43,Bachelor's,7,Healthcare,Nurse,Small,Mid,41,55,86
48,Bachelor's,15,Telecom,Support Specialist,Medium,Entry,60,37,57
37,Master's,10,Logistics,Dispatcher,Medium,Entry,93,0,59
59,Bachelor's,6,Finance,Accountant,Medium,Mid,77,21,80
30,Master's,9,IT,Data Analyst,Medium,Mid,58,28,37
31,High School,5,IT,ML Engineer,Small,Mid,43,67,66
36,High School,12,Healthcare,Nurse,Large,Entry,28,88,66
41,High School,5,Healthcare,Health Analyst,Small,Mid,91,12,45
35,Master's,5,Telecom,Support Specialist,Large,Entry,89,12,58
36,Bachelor's,0,Education,Teacher,Small,Mid,48,58,66
53,High School,11,Telecom,Operations Analyst,Medium,Mid,39,63,20
42,High School,6,Retail,Inventory Analyst,Medium,Mid,92,18,81
45,Master's,11,Manufacturing,Production Supervisor,Small,Mid,68,24,84
25,Bachelor's,0,Education,Academic Coordinator,Medium,Entry,70,8,52
21,Bachelor's,0,Finance,Auditor,Medium,Mid,19,84,81
59,Bachelor's,12,IT,Software Engineer,Small,Mid,20,79,77
31,Bachelor's,5,Education,Academic Coordinator,Medium,Entry,43,50,48
32,High School,10,Telecom,Operations Analyst,Large,Entry,63,49,61
52,Master's,4,Logistics,Dispatcher,Small,Mid,51,42,85
28,Bachelor's,5,Telecom,Support Specialist,Medium,Entry,72,40,49
55,Master's,0,Logistics,Dispatcher,Medium,Senior,62,33,38
48,PhD,7,Healthcare,Health Analyst,Medium,Entry,65,32,36
59,Bachelor's,16,Healthcare,Health Analyst,Large,Entry,72,22,53
31,Bachelor's,8,Finance,Accountant,Small,Entry,70,44,23
27,Master's,6,IT,ML Engineer,Medium,Mid,69,42,53
54,High School,1,Education,Research Assistant,Large,Mid,43,58,51
58,High School,14,Logistics,Warehouse Manager,Large,Mid,13,83,55
51,Bachelor's,7,Education,Academic Coordinator,Large,Entry,31,62,92
28,Master's,7,Healthcare,Health Analyst,Medium,Entry,14,79,74
30,Master's,9,Manufacturing,Production Supervisor,Medium,Entry,20,93,49
26,High School,5,Retail,Sales Associate,Large,Entry,21,74,51
47,High School,3,Logistics,Warehouse Manager,Medium,Mid,16,89,61
57,Master's,3,IT,ML Engineer,Small,Entry,63,59,94
60,Bachelor's,8,Telecom,Support Specialist,Small,Mid,22,68,71
47,Master's,11,Education,Academic Coordinator,Small,Entry,12,90,88
52,High School,5,Education,Teacher,Medium,Entry,66,19,71
60,High School,6,Healthcare,Nurse,Large,Entry,36,56,91
24,High School,3,Retail,Sales Associate,Large,Senior,20,71,65
36,Bachelor's,15,Manufacturing,Operator,Medium,Mid,23,80,57
39,Bachelor's,8,Education,Teacher,Small,Entry,21,73,75
39,High School,4,Education,Academic Coordinator,Medium,Mid,18,74,76
37,High School,9,Healthcare,Nurse,Large,Entry,20,78,95
49,Bachelor's,1,Manufacturing,Quality Engineer,Large,Mid,88,22,58
21,High School,0,Logistics,Warehouse Manager,Large,Senior,33,60,83
22,Bachelor's,1,Retail,Store Manager,Medium,Entry,72,13,88
23,High School,2,Manufacturing,Quality Engineer,Medium,Mid,62,21,49
28,Bachelor's,5,Finance,Accountant,Medium,Mid,74,38,56
32,High School,8,Manufacturing,Production Supervisor,Medium,Mid,39,64,46
22,Master's,1,Finance,Accountant,Small,Senior,51,63,85
47,Master's,7,Healthcare,Nurse,Large,Entry,38,50,88
39,Bachelor's,10,IT,ML Engineer,Medium,Entry,41,59,53
32,Master's,11,Retail,Store Manager,Small,Senior,14,80,89
25,Master's,4,Logistics,Supply Chain Analyst,Medium,Entry,15,84,32
41,High School,13,Education,Teacher,Medium,Mid,75,27,84
25,Master's,4,Manufacturing,Operator,Small,Mid,41,68,64
48,Bachelor's,10,Telecom,Operations Analyst,Medium,Mid,15,84,30
31,High School,10,Logistics,Dispatcher,Small,Entry,91,8,45
36,High School,13,Healthcare,Medical Assistant,Medium,Entry,92,12,44
30,Bachelor's,9,Manufacturing,Production Supervisor,Small,Entry,14,87,42
49,High School,12,Finance,Financial Analyst,Medium,Senior,48,53,39
32,Master's,11,Telecom,Support Specialist,Large,Entry,82,9,26
41,Master's,11,Manufacturing,Production Supervisor,Small,Entry,81,23,51
49,Master's,6,Healthcare,Medical Assistant,Medium,Entry,66,20,26
32,Master's,11,Finance,Financial Analyst,Small,Entry,89,6,31
26,Master's,5,Finance,Auditor,Large,Entry,10,91,56
55,Master's,3,Retail,Inventory Analyst,Medium,Entry,31,72,36
36,Bachelor's,7,Finance,Financial Analyst,Medium,Mid,25,73,55
55,Bachelor's,6,Healthcare,Health Analyst,Medium,Senior,91,8,30
22,Bachelor's,1,Education,Academic Coordinator,Medium,Entry,86,23,48
25,Master's,2,Logistics,Dispatcher,Medium,Mid,81,22,80
33,Bachelor's,10,Finance,Auditor,Medium,Entry,71,20,61
51,High School,12,Education,Teacher,Medium,Mid,29,63,70
21,Master's,0,Telecom,Network Engineer,Small,Entry,72,23,28
34,Bachelor's,12,Education,Teacher,Medium,Entry,47,44,96
25,High School,1,IT,ML Engineer,Medium,Senior,67,30,67
35,Bachelor's,0,IT,Software Engineer,Medium,Mid,46,49,79
42,Master's,16,Healthcare,Health Analyst,Large,Entry,21,79,46
44,High School,12,Telecom,Network Engineer,Large,Senior,66,18,30
50,High School,12,Retail,Sales Associate,Small,Mid,24,88,35
38,Bachelor's,13,Logistics,Supply Chain Analyst,Small,Mid,51,56,41
32,Bachelor's,9,Logistics,Supply Chain Analyst,Small,Mid,16,77,39
22,High School,1,Logistics,Warehouse Manager,Large,Mid,37,73,42
44,Bachelor's,12,Healthcare,Nurse,Large,Mid,81,21,92
26,Bachelor's,5,Finance,Auditor,Medium,Mid,24,86,55
42,Master's,3,Retail,Store Manager,Medium,Mid,47,58,87
50,Bachelor's,10,Telecom,Network Engineer,Medium,Mid,69,27,89
37,Bachelor's,4,Logistics,Dispatcher,Medium,Entry,91,0,31
24,Bachelor's,3,Retail,Inventory Analyst,Medium,Entry,75,33,26
54,Bachelor's,12,Healthcare,Nurse,Small,Senior,23,72,95
31,Bachelor's,10,Telecom,Operations Analyst,Small,Entry,76,7,42
23,Master's,2,Manufacturing,Operator,Medium,Entry,59,43,80
34,High School,9,Telecom,Operations Analyst,Small,Entry,31,64,47
59,High School,5,Retail,Inventory Analyst,Medium,Entry,53,51,64
49,Bachelor's,4,Education,Academic Coordinator,Large,Mid,86,11,75
32,Bachelor's,11,Healthcare,Medical Assistant,Small,Mid,64,57,66
54,Bachelor's,1,Retail,Sales Associate,Medium,Entry,10,76,27
26,Bachelor's,5,Logistics,Warehouse Manager,Medium,Mid,70,24,78
34,Master's,13,Telecom,Operations Analyst,Medium,Entry,26,75,35
50,Master's,7,Education,Research Assistant,Large,Entry,84,15,33
37,Bachelor's,2,Logistics,Warehouse Manager,Small,Mid,58,43,71
51,Master's,4,Finance,Accountant,Small,Entry,65,28,52
32,PhD,11,Finance,Financial Analyst,Medium,Entry,86,0,79
53,Master's,3,Telecom,Support Specialist,Medium,Mid,13,82,68
38,Bachelor's,10,Education,Teacher,Large,Entry,36,62,98
26,Bachelor's,5,Telecom,Network Engineer,Medium,Mid,25,64,60
36,Master's,14,Healthcare,Medical Assistant,Large,Mid,42,47,54
57,High School,10,Education,Research Assistant,Large,Entry,86,12,24
36,Bachelor's,9,Finance,Financial Analyst,Large,Mid,79,16,22
50,PhD,13,Telecom,Operations Analyst,Medium,Entry,71,26,59
29,Master's,7,Healthcare,Medical Assistant,Small,Entry,77,13,93
50,Bachelor's,6,Logistics,Dispatcher,Small,Mid,45,46,49
27,High School,6,Telecom,Operations Analyst,Medium,Senior,89,23,66
24,Bachelor's,3,Retail,Store Manager,Small,Entry,43,56,85
40,Master's,11,Manufacturing,Quality Engineer,Large,Entry,48,51,82
32,Bachelor's,11,Retail,Sales Associate,Small,Entry,36,64,79
56,Master's,12,IT,ML Engineer,Medium,Mid,94,0,82
41,High School,15,Education,Academic Coordinator,Large,Senior,72,19,65
47,Master's,3,Education,Academic Coordinator,Large,Entry,17,89,40
49,Bachelor's,6,Telecom,Support Specialist,Large,Entry,73,10,44
47,Master's,9,Telecom,Support Specialist,Small,Entry,12,89,84
28,Master's,2,Manufacturing,Production Supervisor,Small,Entry,32,75,36
26,Bachelor's,4,Manufacturing,Quality Engineer,Medium,Mid,43,53,23
29,Bachelor's,0,Retail,Sales Associate,Medium,Entry,68,24,53
33,Bachelor's,6,IT,Data Analyst,Medium,Mid,74,36,71
41,Bachelor's,1,Logistics,Warehouse Manager,Large,Senior,28,84,82
55,PhD,18,Retail,Inventory Analyst,Medium,Entry,16,75,73
44,Bachelor's,11,Healthcare,Health Analyst,Medium,Mid,58,26,23
24,High School,3,Retail,Inventory Analyst,Small,Entry,30,57,23
44,Bachelor's,9,Finance,Auditor,Small,Mid,94,0,32
59,High School,13,Education,Teacher,Medium,Mid,90,10,68
27,PhD,6,IT,ML Engineer,Small,Mid,11,81,78
33,Bachelor's,11,IT,Data Analyst,Small,Senior,36,51,37
52,Master's,2,Finance,Auditor,Medium,Mid,62,30,29
56,High School,7,Education,Academic Coordinator,Medium,Entry,16,71,39
26,Bachelor's,5,Finance,Auditor,Large,Mid,27,77,91
46,Master's,12,IT,ML Engineer,Large,Mid,77,28,63
23,PhD,2,Retail,Sales Associate,Medium,Entry,15,71,33
46,Bachelor's,11,Retail,Store Manager,Small,Entry,82,32,97
24,Bachelor's,3,Telecom,Operations Analyst,Small,Entry,28,90,56
21,High School,0,Retail,Sales Associate,Small,Senior,87,14,61
34,Bachelor's,11,Healthcare,Medical Assistant,Medium,Mid,57,31,85
43,Master's,5,Education,Academic Coordinator,Small,Entry,25,74,58
60,Bachelor's,3,Retail,Inventory Analyst,Small,Entry,42,64,86
22,Master's,1,Retail,Store Manager,Large,Mid,43,70,96
49,Bachelor's,7,IT,Software Engineer,Medium,Entry,46,34,88
41,Bachelor's,6,Finance,Auditor,Medium,Mid,73,16,87
52,PhD,15,Telecom,Support Specialist,Large,Mid,59,41,72
25,Bachelor's,4,IT,Software Engineer,Large,Mid,77,21,30
32,PhD,11,Manufacturing,Quality Engineer,Small,Mid,25,58,41
50,Bachelor's,11,IT,Software Engineer,Medium,Mid,92,9,79
27,Bachelor's,6,Retail,Store Manager,Small,Entry,30,85,98
44,Bachelor's,11,Manufacturing,Operator,Medium,Entry,63,51,47
47,Bachelor's,13,Finance,Financial Analyst,Medium,Entry,78,33,38
30,Bachelor's,3,Telecom,Network Engineer,Small,Senior,13,82,72
23,Bachelor's,2,Manufacturing,Production Supervisor,Small,Entry,90,11,28
26,Master's,5,Finance,Accountant,Large,Entry,92,12,25
44,Bachelor's,8,Telecom,Network Engineer,Small,Entry,57,34,70
41,Master's,9,IT,ML Engineer,Small,Entry,79,22,91
27,PhD,6,Healthcare,Nurse,Small,Mid,82,17,70
45,Bachelor's,6,Telecom,Network Engineer,Small,Entry,32,74,20
49,Bachelor's,10,Manufacturing,Quality Engineer,Small,Entry,10,70,29
32,Bachelor's,11,Telecom,Operations Analyst,Medium,Senior,36,66,90
32,Master's,11,IT,Data Analyst,Large,Senior,41,74,24
28,Master's,0,Manufacturing,Quality Engineer,Medium,Mid,47,57,34
25,Master's,4,Retail,Store Manager,Large,Mid,20,86,76
53,Bachelor's,10,Manufacturing,Operator,Medium,Mid,60,26,31
53,Master's,11,Logistics,Warehouse Manager,Medium,Mid,79,14,30
45,Bachelor's,10,Manufacturing,Quality Engineer,Small,Entry,77,0,40
24,Bachelor's,2,Finance,Accountant,Medium,Mid,69,40,80
40,PhD,7,Telecom,Operations Analyst,Medium,Senior,15,72,60
43,Bachelor's,5,Manufacturing,Quality Engineer,Small,Entry,77,27,88
39,Master's,5,Manufacturing,Operator,Medium,Mid,66,45,43
45,PhD,13,Retail,Sales Associate,Medium,Mid,19,86,29
43,Bachelor's,15,IT,Data Analyst,Large,Entry,85,29,21
38,Bachelor's,12,Telecom,Support Specialist,Large,Entry,53,41,87
49,Bachelor's,4,Finance,Financial Analyst,Medium,Entry,55,41,94
28,Bachelor's,7,Retail,Inventory Analyst,Small,Entry,20,70,29
28,Bachelor's,7,IT,Data Analyst,Large,Entry,58,53,84
23,High School,2,Retail,Sales Associate,Small,Mid,46,58,94
52,Bachelor's,16,Education,Academic Coordinator,Medium,Entry,13,94,41
40,Master's,4,Finance,Auditor,Large,Mid,89,0,56
27,Master's,5,Manufacturing,Quality Engineer,Small,Mid,84,19,83
30,PhD,3,Healthcare,Health Analyst,Large,Mid,71,41,90
26,Master's,5,Finance,Accountant,Small,Entry,49,36,66
30,Bachelor's,6,Healthcare,Nurse,Large,Entry,32,55,99
27,Master's,6,Logistics,Dispatcher,Small,Mid,81,19,64
54,Bachelor's,6,Retail,Store Manager,Medium,Mid,94,16,93
33,High School,6,Healthcare,Medical Assistant,Large,Mid,31,58,48
29,Master's,6,Logistics,Dispatcher,Medium,Entry,89,1,20
55,Bachelor's,8,Retail,Store Manager,Small,Mid,56,52,95
58,Master's,14,Logistics,Warehouse Manager,Medium,Entry,55,43,51
46,High School,8,Telecom,Support Specialist,Medium,Entry,75,34,40
25,Bachelor's,4,Education,Teacher,Small,Mid,24,70,83
37,Bachelor's,1,IT,Data Analyst,Large,Entry,19,86,81
44,Master's,15,Telecom,Network Engineer,Medium,Entry,47,43,33
33,Bachelor's,11,Manufacturing,Operator,Small,Mid,25,77,84
38,Master's,14,Retail,Inventory Analyst,Large,Entry,70,22,59
50,Bachelor's,8,Logistics,Dispatcher,Medium,Entry,64,45,71
27,High School,6,Logistics,Warehouse Manager,Medium,Mid,36,64,45
36,Master's,9,Retail,Sales Associate,Medium,Mid,92,8,87
52,High School,6,Logistics,Dispatcher,Small,Entry,49,43,75
55,High School,12,Logistics,Dispatcher,Medium,Mid,47,39,41
49,Master's,13,Finance,Accountant,Small,Entry,43,72,93
24,Bachelor's,3,Telecom,Operations Analyst,Medium,Entry,34,77,56
26,Master's,5,Finance,Financial Analyst,Large,Entry,89,9,84
42,High School,8,Healthcare,Nurse,Medium,Mid,86,10,72
50,Bachelor's,0,Healthcare,Health Analyst,Large,Mid,86,27,81
52,Master's,10,Finance,Accountant,Medium,Entry,60,30,94
27,High School,0,Retail,Sales Associate,Large,Mid,28,72,75
55,Bachelor's,0,Finance,Accountant,Small,Entry,31,65,42
29,Bachelor's,8,Telecom,Support Specialist,Medium,Entry,93,0,76
43,Bachelor's,11,Healthcare,Health Analyst,Medium,Entry,50,54,27
25,Bachelor's,4,Logistics,Supply Chain Analyst,Large,Entry,34,55,48
34,Master's,8,Telecom,Support Specialist,Small,Mid,40,59,88
25,Master's,4,IT,Data Analyst,Large,Entry,62,30,20
50,Bachelor's,10,Finance,Financial Analyst,Large,Senior,54,48,35
41,Bachelor's,13,Manufacturing,Operator,Small,Mid,15,88,94
55,Bachelor's,11,Manufacturing,Operator,Large,Entry,74,46,45
56,Bachelor's,14,Education,Research Assistant,Medium,Mid,82,24,47
49,PhD,8,Education,Research Assistant,Small,Entry,71,27,87
47,Bachelor's,5,Healthcare,Nurse,Medium,Mid,62,37,93
46,Bachelor's,7,Manufacturing,Operator,Medium,Entry,39,68,84
25,Bachelor's,4,Retail,Inventory Analyst,Medium,Entry,14,93,88
48,Bachelor's,13,Education,Research Assistant,Medium,Senior,14,78,24
43,High School,8,Manufacturing,Quality Engineer,Small,Mid,52,48,80
22,High School,1,Logistics,Supply Chain Analyst,Large,Mid,10,85,80
32,Bachelor's,4,Education,Research Assistant,Small,Mid,48,49,60
23,Master's,1,Healthcare,Nurse,Small,Entry,75,29,92
60,High School,12,Logistics,Supply Chain Analyst,Large,Mid,36,79,79
48,Bachelor's,4,Education,Academic Coordinator,Medium,Entry,79,36,46
52,Bachelor's,1,Healthcare,Nurse,Medium,Mid,41,61,78
58,Master's,8,Logistics,Supply Chain Analyst,Medium,Senior,65,41,38
46,High School,3,IT,Data Analyst,Medium,Entry,49,25,62
25,Master's,4,Retail,Store Manager,Medium,Mid,14,66,93
40,Master's,1,Finance,Auditor,Large,Entry,49,52,28
60,High School,11,Logistics,Warehouse Manager,Medium,Mid,68,41,28
44,High School,14,Finance,Accountant,Small,Mid,51,50,84
59,Bachelor's,12,Logistics,Dispatcher,Large,Mid,58,28,28
42,High School,12,Healthcare,Nurse,Medium,Entry,62,61,92
29,High School,2,Education,Research Assistant,Medium,Mid,23,80,82
37,Bachelor's,8,Retail,Sales Associate,Large,Mid,13,81,40
48,Bachelor's,15,IT,Software Engineer,Medium,Entry,54,56,90
34,Bachelor's,5,Manufacturing,Quality Engineer,Medium,Senior,63,35,72
55,Bachelor's,4,Telecom,Operations Analyst,Medium,Entry,25,86,56
36,Master's,7,Manufacturing,Quality Engineer,Small,Senior,50,61,55
23,High School,2,Telecom,Support Specialist,Small,Mid,74,39,44
47,Bachelor's,7,Retail,Store Manager,Large,Senior,31,65,98
25,PhD,4,Healthcare,Nurse,Large,Entry,56,35,75
33,Bachelor's,9,Retail,Sales Associate,Large,Entry,38,52,56
38,Master's,9,Healthcare,Medical Assistant,Medium,Mid,90,11,58
41,Bachelor's,12,Finance,Accountant,Small,Entry,71,26,86
55,Bachelor's,11,Telecom,Support Specialist,Large,Senior,75,17,78
35,High School,12,Manufacturing,Operator,Large,Mid,49,51,78
34,High School,9,Logistics,Supply Chain Analyst,Small,Entry,42,62,75
39,Master's,18,Healthcare,Nurse,Small,Entry,15,97,94
38,Bachelor's,2,Retail,Store Manager,Large,Mid,90,6,87
35,Master's,3,Finance,Auditor,Large,Mid,37,72,27
32,Bachelor's,4,Healthcare,Nurse,Large,Entry,47,57,93
30,Bachelor's,5,Healthcare,Medical Assistant,Medium,Mid,20,71,92
47,Bachelor's,8,IT,Data Analyst,Medium,Entry,38,29,94
27,Bachelor's,6,Finance,Accountant,Large,Mid,10,100,30
25,Bachelor's,4,Healthcare,Health Analyst,Small,Entry,36,62,69
48,Master's,9,Logistics,Warehouse Manager,Large,Senior,49,72,69
24,Master's,3,Logistics,Warehouse Manager,Medium,Senior,60,41,51
26,PhD,5,Manufacturing,Operator,Small,Entry,65,5,53
49,Bachelor's,10,Finance,Accountant,Medium,Mid,85,5,58
47,Bachelor's,16,Telecom,Support Specialist,Small,Entry,80,28,41
25,Bachelor's,4,Telecom,Operations Analyst,Medium,Entry,23,60,46
25,Bachelor's,4,Logistics,Warehouse Manager,Small,Entry,54,48,79
49,Bachelor's,15,Manufacturing,Operator,Small,Mid,15,100,69
22,Bachelor's,1,Education,Research Assistant,Small,Entry,22,80,34
38,High School,5,Finance,Auditor,Medium,Mid,69,23,53
49,Bachelor's,13,Retail,Store Manager,Large,Entry,68,31,91
49,Master's,16,Manufacturing,Operator,Large,Senior,37,59,90
24,Master's,0,Healthcare,Medical Assistant,Medium,Entry,65,35,44
54,High School,5,Logistics,Warehouse Manager,Small,Entry,71,38,62
60,Master's,4,Manufacturing,Operator,Medium,Senior,21,79,65
46,Bachelor's,5,Finance,Auditor,Medium,Entry,86,17,70
39,Bachelor's,3,Telecom,Operations Analyst,Large,Entry,32,65,84
31,Bachelor's,10,Education,Teacher,Large,Senior,63,37,86
53,Master's,7,IT,Data Analyst,Small,Entry,89,5,47
23,High School,2,Logistics,Dispatcher,Medium,Mid,11,90,31
40,Bachelor's,4,Education,Research Assistant,Small,Mid,29,80,45
50,PhD,12,Telecom,Network Engineer,Medium,Mid,84,29,49
55,PhD,7,Retail,Sales Associate,Medium,Senior,67,40,58
60,Master's,4,Education,Teacher,Small,Mid,93,0,90
29,Bachelor's,8,IT,Software Engineer,Medium,Entry,23,75,30
26,Bachelor's,4,Logistics,Warehouse Manager,Small,Mid,92,6,32
47,High School,12,Retail,Store Manager,Medium,Mid,34,77,65
43,Bachelor's,11,Manufacturing,Quality Engineer,Small,Senior,15,80,33
43,Bachelor's,4,Finance,Financial Analyst,Large,Mid,25,74,32
43,Bachelor's,15,Manufacturing,Operator,Large,Mid,89,0,34
55,Bachelor's,6,IT,ML Engineer,Medium,Mid,91,0,83
52,High School,0,Manufacturing,Production Supervisor,Large,Mid,45,64,36
47,Bachelor's,6,Manufacturing,Operator,Small,Senior,75,36,79
32,Bachelor's,6,Logistics,Warehouse Manager,Small,Entry,58,39,49
38,Bachelor's,12,IT,ML Engineer,Large,Entry,52,40,74
48,Bachelor's,5,Manufacturing,Quality Engineer,Small,Mid,70,36,45
29,Bachelor's,8,IT,ML Engineer,Small,Mid,31,66,85
31,Bachelor's,10,IT,ML Engineer,Medium,Mid,76,39,60
52,Bachelor's,11,Logistics,Dispatcher,Medium,Mid,56,52,43
39,Bachelor's,9,Logistics,Warehouse Manager,Medium,Entry,81,0,25
30,High School,8,Healthcare,Medical Assistant,Small,Mid,65,25,72
51,Bachelor's,5,Finance,Accountant,Small,Entry,41,54,31
26,High School,5,Education,Teacher,Medium,Senior,89,8,69
34,High School,9,Healthcare,Health Analyst,Medium,Mid,33,76,50
50,Master's,4,Healthcare,Nurse,Large,Entry,35,62,93
38,High School,1,Finance,Financial Analyst,Large,Senior,25,79,83
31,Bachelor's,6,Finance,Accountant,Medium,Mid,59,52,80
31,Master's,10,Logistics,Dispatcher,Small,Entry,50,51,76
53,Bachelor's,6,IT,Data Analyst,Large,Mid,74,38,94
40,High School,15,Finance,Auditor,Small,Entry,83,10,23
59,Bachelor's,14,Manufacturing,Production Supervisor,Large,Senior,79,9,47
23,Bachelor's,0,IT,Data Analyst,Large,Entry,53,44,56
31,High School,10,Education,Research Assistant,Small,Senior,25,70,89
41,Bachelor's,17,Healthcare,Health Analyst,Medium,Mid,11,75,32
35,Bachelor's,14,Education,Research Assistant,Large,Entry,54,45,79
35,High School,0,IT,ML Engineer,Medium,Entry,57,43,41
58,High School,15,Telecom,Support Specialist,Small,Mid,75,41,33
58,Master's,9,IT,Software Engineer,Medium,Senior,51,47,42
45,Bachelor's,0,Retail,Inventory Analyst,Small,Mid,93,13,35
